"","AR4040","AR4041","AR4042","AR4043","AR4044","AR4045","AR4046","AR4047","AR4048","AR4049","AR4120","AR4121","AR4122","AR4123","AR4124","AR4125","AR4126","AR4127","AR4128","AR4129","AR4151","AR4152","AR4153","AR4154","AR4155","AR4156","AR4157","AR4158","AR4159","AR4160","AR4161","AR4162","AR4163","AR4164","MKAN003341","MKAN003342","MKAN003343","MKAN003344","MKAN003345","MKAN003346","MKAN003347","MKAN003348","MKAN003432","MKAN003433","MKAN003434","MKAN003435","MKAN003436","MKAN003437","MKAN003479","MKAN003480","MKAN003481","MKAN003482","MKAN003483","MKAN003484","MKAN003485","MKAN003486","MKAN003487","MKAN003689","MKAN003690","MKAN003691","MKAN003692","MKAN003694","MKAN003695","MKAN003696","MKAN003697","MKAN003755","MKAN003756","MKAN003757","MKAN003758","MKAN003759","MKAN003760","MKAN003761","MKAN003762","MKAN003789","MKAN003790","MKAN003791","MKAN003792","MKAN003793","MKAN003794","MKAN003795","MKAN003796","MKAN003963"
"482957",0.0254318618042227,0,0.0108173076923077,0.011047754811119,0.0315928038613427,0,0.0162337662337662,0.0323878495272581,0,0,0.0206128133704735,0.0322243147101904,0.0243386243386243,0.0445089501693275,0.00477326968973747,0.0351309912672488,0,0.0213559322033898,0.0232558139534884,0.0163316582914573,NA,0,0,0.0164705882352941,0.0125441696113074,0,0.0240080869345464,0.00255427841634738,0,0.0401970151663998,0.00275862068965517,0.0123361603700848,0.0238680094980758,0.0477090222012281,0.0291916167664671,0.0334610472541507,0,0.0297380585516179,0.0269618366883035,0.0200617283950617,0.0282540449166868,0.020109689213894,0.0187617260787992,0.034644976918004,0.0170316301703163,0.0458015267175573,0.036,0.0789473684210526,0.0166666666666667,0.0201058201058201,0.0427553444180523,0,0.0553935860058309,0,0.029894694814593,0.0257211753148165,0.0274599542334096,0.0279627163781625,0.0345744680851064,0.0258610415921821,0.033831364804948,0.0374064837905237,0.0262239389426657,0.0271164021164021,0,0,0.0198440822111977,0.0337078651685393,0.036398999722145,0.0281726628023704,0.0235726375758577,0.0352184714306591,0.0334367609087161,0.0101509630400833,0.0346368273298802,0.0277541772868876,0.0490605887270647,0.0303582869252378,0.0342455282066962,0.0188069350573024,0.0311479392156334,0.0171673819742489
"640510",0.00407869481765835,0.0135593220338983,0.00721153846153846,0.000712758374910905,0.00877577885037297,0,0.00432900432900433,0.0125528062764031,0,0,0.0128133704735376,0.00439422473320778,0,0.0149975810353169,0,0.0109326044930338,0,0.000677966101694915,0,0.0050251256281407,NA,0,0,0.00470588235294118,0.003886925795053,0,0.00151630022744503,0.00510855683269476,0,0.00948741067703777,0.00275862068965517,0.0023130300693909,0.0115041349381806,0.031176192725555,0.0061751497005988,0.0118773946360153,0.021505376344086,0.0086286594761171,0.0126916374106534,0.00308641975308642,0.0113499154793528,0.00548446069469835,0.00469043151969981,0.0115190151681688,0.0048661800486618,0.083969465648855,8e-04,0,0,0.0142857142857143,0,0,0,0.0444444444444444,0.00988171882018266,0.00946682147003662,0.00274599542334096,0,0.00531914893617021,0.00977237516386605,0.00864413726293826,0,0.0136820551005212,0.0125661375661376,0,0,0.00850460666194188,0.00780803656446391,0.012824075063586,0.00929374048767851,0.0145316434793378,0.00416483998246383,0.0065962201922451,0.0075481520041645,0.00893598513305128,0.0100380754586362,0.0121221454657456,0.00926519146419595,0.00657391836110686,0.00690567146635322,0.0219439121163864,0.0171673819742489
"640511",0.133877159309021,0.0508474576271186,0.0973557692307692,0.158945117605132,0.0763492759982449,0.133333333333333,0.117965367965368,0.0766445383222692,0.125,0,0.0693593314763231,0.0847457627118644,0.2,0.104499274310595,0.0644391408114559,0.0761282581161256,0,0.0922033898305085,0.0668604651162791,0.0898241206030151,NA,0,0.0363636363636364,0.0705882352941176,0.076678445229682,0.05,0.087945413191812,0.201787994891443,0.252450980392157,0.0761146025380506,0.176551724137931,0.107941403238242,0.092033079505445,0.0774681152574398,0.0718562874251497,0.0613026819923372,0.021505376344086,0.07442218798151,0.0688758113807996,0.0740740740740741,0.0965950253561942,0.0877513711151737,0.075046904315197,0.0703451307979776,0.0316301703163017,0.0305343511450382,0.0888,0.0745614035087719,0.0166666666666667,0.0560846560846561,0.128266033254157,0.08300395256917,0.180758017492711,0.0888888888888889,0.0794530119279333,0.0648387961060998,0.124485125858124,0.103861517976032,0.0771276595744681,0.0698367298295793,0.0704571705354149,0.0723192019950125,0.102359456440804,0.0615079365079365,0.069620253164557,0.08,0.0524450744153083,0.107598552656637,0.0895120439438305,0.0685858618568052,0.0697271188539818,0.0896536606751425,0.0908716123852713,0.10801665799063,0.0776363133130363,0.0818150350860631,0.0945791349496194,0.0925533487753191,0.0862253478061459,0.0813987657948869,0.0705552106669546,0.0858369098712446
"640512",0.0640595009596929,0,0.0420673076923077,0.026015680684248,0.0245721807810443,0,0.038961038961039,0.0536310601488634,0,0,0.0214484679665738,0.0441514961288973,0.0169312169312169,0.05418480890179,0.0190930787589499,0.0343977068195454,0,0.0742372881355932,0.0290697674418605,0.0188442211055276,NA,0,0,0.00470588235294118,0.0268551236749117,0,0.0187010361384888,0.0434227330779055,0,0.055955537014359,0.0289655172413793,0.0161912104857363,0.0435192008515516,0.0543221539914974,0.0585703592814371,0.0454661558109834,0,0.0357473035439137,0.0432778521455813,0.029320987654321,0.0280125573532963,0.0298598415600244,0.0295497185741088,0.0379424049241592,0.0437956204379562,0,0.0368,0.0175438596491228,0,0.028042328042328,0.0546318289786223,0.0158102766798419,0.0466472303206997,0,0.0480610869890702,0.0457265338930071,0.0215102974828375,0.0213049267643142,0.0372340425531915,0.0345608389941604,0.0440031297738366,0.0548628428927681,0.0514938570364855,0.0363756613756614,0,0.0533333333333333,0.0396881644223955,0.0312321462578556,0.0493940624532456,0.0415141996696998,0.0345952194195599,0.0358760777436797,0.0351943064204656,0.0190005205622072,0.043394883555415,0.0438025110922307,0.0300303603643244,0.0369621999901434,0.0340926463843449,0.0377607992947399,0.0549542497773219,0.0171673819742489
"758793",0.0479846449136276,0.0508474576271186,0.0240384615384615,0.0495367070563079,0.0443176831943835,0.0212121212121212,0.0313852813852814,0.0422047877690606,0.25,0,0.0395543175487465,0.0364092906465788,0.0380952380952381,0.0169327527818094,0.0310262529832936,0.0549963335777615,0,0.0579661016949153,0.168604651162791,0.0571608040201005,NA,0,0,0.0329411764705882,0.0450530035335689,0,0.0606520090978014,0.0357598978288633,0,0.049953572245623,0.0220689655172414,0.0670778720123362,0.0448292802751167,0.057628719886632,0.0591317365269461,0.0540229885057471,0,0.0534668721109399,0.0522188265602506,0.0447530864197531,0.0330837961844965,0.0840950639853748,0.0553470919324578,0.0542976478346889,0.0851581508515815,0.0763358778625954,0.0612,0.0350877192982456,0.05,0.028042328042328,0.0285035629453682,0.0237154150197628,0.0233236151603499,0,0.0482108100014972,0.056265071001161,0.0581235697940503,0.0159786950732357,0.0372340425531915,0.0643546657132642,0.0464249785759529,0.0149625935162095,0.0494694713328369,0.0641534391534392,0,0.0133333333333333,0.0602409638554217,0.0561797752808989,0.0510611922115117,0.0554062368446618,0.0549477769062461,0.0472015198012568,0.03949052878252,0.0385216033315981,0.05893400814519,0.0612354070297996,0.0514806177674132,0.0549997535853334,0.0418896193242623,0.0471642668233911,0.0450754406326756,0.0257510729613734
"758796",0.00143953934740883,0,0.00240384615384615,0,0,0,0.0119047619047619,0.000402333534500101,0,0,0.000557103064066852,0,0,0,0,0.00053329778014799,0,0,0,0,NA,0,0,0,0,0,0,0,0,0.00047100620382457,0,0,0.000163759927945632,0,0,0,0,0.000462249614791988,0,0,0,0,0,0.000967245548472192,0.0048661800486618,0,0,0,0,0,0,0,0,0,0.000548984378899037,0.000357238546039118,0.00183066361556064,0,0,0.00119175306876415,0,0,0.000558451228592703,0,0,0,0.00283486888731396,0,8.54938337572403e-05,0.000712412162818562,0.000536680014861908,0.000730673681134006,0.000499056132965912,0,0,0,0.00312403748844986,0.00103494159972402,0,0,0.000485843072687522,0
"1097668",0.0465451055662188,0.0474576271186441,0.0372596153846154,0.0171062009978617,0.0522158841597192,0.154545454545455,0.145021645021645,0.0774894387447194,0.25,1,0.0537604456824513,0.0592174094998954,0.0423280423280423,0.101596516690856,0.00954653937947494,0.0606626224918339,0,0.0413559322033898,0.0813953488372093,0.00376884422110553,NA,0,0.163636363636364,0.0541176470588235,0.121201413427562,0.1,0.0649481930755623,0.0791826309067688,0.112745098039216,0.0588219461976342,0.0262068965517241,0.0277563608326908,0.077376565954311,0.0486537553141238,0.0701721556886228,0.0687100893997446,0,0.0479198767334361,0.0549086959816129,0.0941358024691358,0.0567495773967641,0.0560633759902499,0.0534709193245779,0.0576830072543416,0.0608272506082725,0.0305343511450382,0.0528,0.0701754385964912,0.05,0.0952380952380952,0.0403800475059382,0.0948616600790514,0.0524781341107872,0.0444444444444444,0.0574437291011628,0.0535857819058676,0.0416475972540046,0.117177097203728,0.0558510638297872,0.0649505422476463,0.067066582212452,0.0448877805486284,0.0532157483246463,0.0826719576719577,0,0.0533333333333333,0.0559886605244507,0.0647495715101885,0.0545023190202407,0.0680029791781354,0.0749700697684019,0.058746163963174,0.0709961594375854,0.0598646538261322,0.0710529437349255,0.0599767141823217,0.0540106481277775,0.0736779853136859,0.0827090658920654,0.0784601821921834,0.0604334799859645,0.171673819742489
"342113",0,0,0,0,0,0,0,0.00655803661235164,0,0,0.00752089136490251,0,0,0.00290275761973875,0,0.00166655556296247,0,0.00677966101694915,0,0,NA,0,0,0.00941176470588235,0.00265017667844523,0,0,0,0,0.00153413449245717,0,0,0.00454433800049128,0.00425129900803023,0.000748502994011976,0,0,0.00061633281972265,0.000505139797438941,0,0.000482975126780971,0,0,0.00189052539019565,0,0,0,0,0,0,0.0118764845605701,0,0,0,0,0,0,0,0,0,0.000447110548083014,0,0.00053518242740134,0,0,0,0,0,0.00200910509329515,0.00148958906771154,0,0.000292269472453602,0.00171414932627422,0.00104112441436752,0.000948954173421375,0,0.000528006336076033,0.000197131733280765,0.0013759364011619,0,0.00186239844530217,0
"188058",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33961854752967e-05,0,0,0,0,0,0,0,0,0
"326454",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.47647420744147e-05,0,0,0,0,0,0,0,0,0,0,0,0
