,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
1085,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillum,Rhodospirillum_rubrum
1231,Bacteria,,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosospira,Nitrosospira_multiformis
1270,Bacteria,,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus_luteus
1304,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_salivarius
1599,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_sakei
1814,Bacteria,,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,Amycolatopsis_methanolica
1836,Bacteria,,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora,Saccharopolyspora_erythraea
2001,Bacteria,,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Streptosporangium,Streptosporangium_roseum
3694,Eukaryota,Viridiplantae,Streptophyta,,Malpighiales,Salicaceae,Populus,Populus_trichocarpa
28447,Bacteria,,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Clavibacter,Clavibacter_michiganensis
29303,Bacteria,,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces_cattleya
31998,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium_radiotolerans
33910,Bacteria,,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,Amycolatopsis_mediterranei
39960,Bacteria,,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter,Erythrobacter_litoralis
44255,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium_oligotrophicum
46541,Bacteria,,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Thermosipho,Thermosipho_melanesiensis
55205,Bacteria,,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales_Family_III._Incertae_Sedis,Caldicellulosiruptor,Caldicellulosiruptor_owensensis
55208,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pectobacterium,Pectobacterium_wasabiae
65741,Bacteria,,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_knackmussii
68909,Bacteria,,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus_geothermalis
78454,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Cebidae,Saguinus,Saguinus_labiatus
83455,Bacteria,,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus_stipitatus
83986,Archaea,,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,Methanoculleus_bourgensis
85683,Bacteria,,Firmicutes,Bacilli,Bacillales,Sporolactobacillaceae,,[Bacillus]_selenitireducens
114186,Bacteria,,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Candidatus_Carsonella,Candidatus_Carsonella_ruddii
129337,Bacteria,,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,
133924,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Leisingera,Leisingera_methylohalidivorans
162425,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_nidulans
169760,Bacteria,,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus_stellifer
171719,Bacteria,,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Dechloromonas,uncultured_Dechloromonas_sp.
