,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
417368,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_thailandicus
437329,Viruses,,,,Caudovirales,Siphoviridae,,Burkholderia_phage_BcepGomr
447217,Bacteria,,Proteobacteria,Deltaproteobacteria,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,Anaeromyxobacter_sp._K
469660,Viruses,,,,Caudovirales,Podoviridae,,Thalassomonas_phage_BA3
472368,Eukaryota,Viridiplantae,Streptophyta,,Lamiales,Gesneriaceae,Dorcoceras,Dorcoceras_hygrometricum
543913,Bacteria,,Proteobacteria,Betaproteobacteria,,,,beta_proteobacterium_CB
576610,Bacteria,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,Polynucleobacter_necessarius
576611,Bacteria,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,Polynucleobacter_asymbioticus
591214,Eukaryota,Viridiplantae,Streptophyta,Liliopsida,Poales,Poaceae,Ferrocalamus,Ferrocalamus_rimosivaginus
657310,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_sp._7L76
687367,Viruses,,,,,Anelloviridae,Alphatorquevirus,Torque_teno_virus_28
754476,Bacteria,,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Methylophaga,Methylophaga_nitratireducenticrescens
795728,Bacteria,,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio_sp._VT5(2010)
875328,Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium_sinense
891974,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,,Plautia_stali_symbiont
979982,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,Leuconostoc_sp._C2
991904,Bacteria,,Proteobacteria,Alphaproteobacteria,,,Polymorphum,Polymorphum_gilvum
1033846,Bacteria,,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,Marinobacter_adhaerens
1055487,Bacteria,,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,Methylotenera,Methylotenera_versatilis
1116375,Bacteria,,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio_sp._EJY3
1127514,Viruses,,,,Caudovirales,Myoviridae,,Aeromonas_phage_vB_AsaM-56
1173027,Bacteria,,Cyanobacteria,,Oscillatoriales,,Microcoleus,Microcoleus_sp._PCC_7113
1189043,Eukaryota,Viridiplantae,Streptophyta,Liliopsida,Zingiberales,Musaceae,,Musa_environmental_sample
1204525,Viruses,,,,Caudovirales,Siphoviridae,,Streptomyces_phage_SV1
1233873,Bacteria,,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,Geobacillus_sp._GHH01
1239384,Viruses,,,,Caudovirales,Podoviridae,N4likevirus,Enterobacter_phage_IME11
1332188,Bacteria,,Candidatus_Saccharibacteria,,,,Candidatus_Saccharimonas,Candidatus_Saccharimonas_aalborgensis
1334193,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,Enterobacter_lignolyticus
1446492,Viruses,,,,Caudovirales,Myoviridae,,Salmonella_phage_vB_SalM_SJ3
1515702,,,,,,,,Sphinx1.76-related_DNA
1623299,Viruses,,,,Caudovirales,Siphoviridae,Phifllikevirus,
1821960,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Edwardsiella,Edwardsiella_anguillarum
623,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Shigella,Shigella_flexneri
11827,Viruses,,,,,Retroviridae,,Human_endogenous_retrovirus
28890,Archaea,,Euryarchaeota,,,,,
34886,Eukaryota,Metazoa,Chordata,Mammalia,Carnivora,Otariidae,Eumetopias,Eumetopias_jubatus
113370,Viruses,,,,,Ascoviridae,Ascovirus,Spodoptera_frugiperda_ascovirus_1a
185955,Viruses,,,,,Virgaviridae,Tobamovirus,Hibiscus_latent_Singapore_virus
284687,Viruses,,,,,Chrysoviridae,Chrysovirus,Amasya_cherry_disease_associated_chrysovirus
302406,Bacteria,,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Advenella,Advenella_mimigardefordensis
482537,Eukaryota,Metazoa,Chordata,Mammalia,Dermoptera,Cynocephalidae,Galeopterus,Galeopterus_variegatus
687331,Viruses,,,,,Anelloviridae,Alphatorquevirus,
1173135,Viruses,,,,Caudovirales,Siphoviridae,Sap6likevirus,Enterococcus_phage_BC611
1291540,Archaea,,Euryarchaeota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Candidatus_Methanomethylophilus,Candidatus_Methanomethylophilus_alvus
196,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_fetus
346,Bacteria,,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas_citri
4513,Eukaryota,Viridiplantae,Streptophyta,Liliopsida,Poales,Poaceae,Hordeum,Hordeum_vulgare
9542,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,Macaca_fuscata
56112,Bacteria,,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Dehalobacter,
64897,Bacteria,,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borreliella,Borreliella_bissettii
181663,Bacteria,,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfococcus,Desulfococcus_oleovorans
474922,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum_gloeosporioides
649831,Bacteria,,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes_sp._N902-109
873,Bacteria,,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio_africanus
1623,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_ruminis
1625,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_sanfranciscensis
1717,Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium_diphtheriae
1768,Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium_kansasii
2047,Bacteria,,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,Rothia_dentocariosa
2095,Bacteria,,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma_capricolum
9818,Eukaryota,Metazoa,Chordata,Mammalia,Tubulidentata,Orycteropodidae,Orycteropus,Orycteropus_afer
10662,Viruses,,,,Caudovirales,Myoviridae,,
28118,Bacteria,,Bacteroidetes,Bacteroidia,Bacteroidales,Odoribacteraceae,Odoribacter,Odoribacter_splanchnicus
33039,Bacteria,,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,[Ruminococcus]_torques
33871,Bacteria,,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Coriobacterium,Coriobacterium_glomerans
37329,Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia,Nocardia_farcinica
43680,Viruses,,,,,Ascoviridae,Ascovirus,
81824,Eukaryota,,,,Choanoflagellida,Codonosigidae,Monosiga,Monosiga_brevicollis
133453,Bacteria,,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,Caldilinea,Caldilinea_aerophila
139208,Bacteria,,Actinobacteria,Actinobacteria,Micrococcales,Promicromonosporaceae,Isoptericola,Isoptericola_variabilis
266009,Bacteria,,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,Methylovorus,Methylovorus_glucosotrophus
283811,Bacteria,,Actinobacteria,Actinobacteria,Glycomycetales,Glycomycetaceae,Stackebrandtia,Stackebrandtia_nassauensis
310453,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Neofusicoccum,Neofusicoccum_parvum
326544,Bacteria,,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Paraglaciecola,Paraglaciecola_psychrophila
375929,Bacteria,,Firmicutes,Clostridia,Natranaerobiales,Natranaerobiaceae,Natranaerobius,Natranaerobius_thermophilus
388640,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella_australis
432329,Bacteria,,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus_peraridilitoris
477641,Bacteria,,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Modestobacter,Modestobacter_marinus
1056830,Viruses,,,,Caudovirales,Siphoviridae,Charlielikevirus,Mycobacterium_phage_Charlie
1419814,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_sp._VT_162
199,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_concisus
358,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Agrobacterium_tumefaciens
433,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,
1708,Bacteria,,Actinobacteria,Actinobacteria,Micrococcales,Cellulomonadaceae,Cellulomonas,Cellulomonas_fimi
1800,Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium_chubuense
28129,Bacteria,,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_denticola
28132,Bacteria,,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_melaninogenica
29466,Bacteria,,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella_parvula
60847,Archaea,,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halogeometricum,Halogeometricum_borinquense
103731,Bacteria,,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharothrix,Saccharothrix_espanaensis
136966,Viruses,,,,,Anelloviridae,,SEN_virus
161493,Bacteria,,Proteobacteria,Deltaproteobacteria,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,Anaeromyxobacter_dehalogenans
186192,Bacteria,,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Marinithermus,Marinithermus_hydrothermalis
204042,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Dickeya,Dickeya_zeae
652716,Bacteria,,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_sp._oral_taxon_299
861208,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Agrobacterium_sp._H13-3
1173741,Viruses,,,,Caudovirales,,,Salmonella_phage_FSL_SP-126
9,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Buchnera,Buchnera_aphidicola
173,Bacteria,,Spirochaetes,Spirochaetia,,Leptospiraceae,Leptospira,Leptospira_interrogans
642,Bacteria,,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,
837,Bacteria,,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas_gingivalis
1282,Bacteria,,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_epidermidis
1716,Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,
1883,Bacteria,,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,
2051,Bacteria,,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Mobiluncus,Mobiluncus_curtisii
4571,Eukaryota,Viridiplantae,Streptophyta,Liliopsida,Poales,Poaceae,Triticum,Triticum_turgidum
32046,Bacteria,,Cyanobacteria,,Chroococcales,,Synechococcus,Synechococcus_elongatus
33059,Bacteria,,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,Acidithiobacillus_caldus
43305,Bacteria,,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,Butyrivibrio_proteoclasticus
164757,Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium_sp._JLS
357808,Bacteria,,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,Roseiflexus,Roseiflexus_sp._RS-1
452646,Eukaryota,Metazoa,Chordata,Mammalia,Carnivora,Mustelidae,Neovison,Neovison_vison
527954,Bacteria,,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_sp._T-3
11,Bacteria,,Actinobacteria,Actinobacteria,Micrococcales,Cellulomonadaceae,Cellulomonas,Cellulomonas_gilvus
645,Bacteria,,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas_salmonicida
899,Bacteria,,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfomicrobiaceae,Desulfomicrobium,Desulfomicrobium_baculatum
1711,Bacteria,,Actinobacteria,Actinobacteria,Micrococcales,Cellulomonadaceae,Cellulomonas,Cellulomonas_flavigena
1748,Bacteria,,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionibacterium,Propionibacterium_acidipropionici
2709,Eukaryota,Viridiplantae,Streptophyta,,Sapindales,Rutaceae,Citrus,Citrus_cavaleriei
31899,Bacteria,,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales_Family_III._Incertae_Sedis,Caldicellulosiruptor,Caldicellulosiruptor_bescii
33010,Bacteria,,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionibacterium,Propionibacterium_avidum
54736,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,Salmonella_bongori
79967,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Erwinia,Erwinia_pyrifoliae
85030,Bacteria,,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,,
112098,Eukaryota,,,Oomycetes,Saprolegniales,Saprolegniaceae,Saprolegnia,Saprolegnia_diclina
132919,Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus_jostii
175245,Eukaryota,Fungi,,,,,,uncultured_fungus
231932,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Phanerochaete,Phanerochaete_carnosa
348043,Bacteria,,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces_davawensis
357233,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Siccibacter,Siccibacter_turicensis
575200,Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium_maris
1193705,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Capnodiales,,,uncultured_Readeriella
106,Bacteria,,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Runella,Runella_slithyformis
944,Bacteria,,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Ehrlichia,Ehrlichia_canis
1393,Bacteria,,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Brevibacillus_brevis
233051,Viruses,,,,,Virgaviridae,Tobamovirus,Hibiscus_latent_Fort_Pierce_virus
334543,Bacteria,,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_arcticus
414,Bacteria,,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylococcus,Methylococcus_capsulatus
1279,Bacteria,,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,
1861,Bacteria,,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Geodermatophilus,Geodermatophilus_obscurus
2006,Bacteria,,Actinobacteria,Actinobacteria,,,Thermobispora,Thermobispora_bispora
9685,Eukaryota,Metazoa,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis_catus
28035,Bacteria,,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_lugdunensis
68295,Bacteria,,Firmicutes,Clostridia,Thermoanaerobacterales,,,
168695,Bacteria,,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Salinispora,Salinispora_tropica
321846,Bacteria,,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_simiae
401472,Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium_ureicelerivorans
651143,Bacteria,,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Fibrella,Fibrella_aestuarina
985002,Bacteria,,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_argenteus
1239382,Viruses,,,,Caudovirales,Podoviridae,T7likevirus,Stenotrophomonas_phage_IME15
373,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Agrobacterium_vitis
446,Bacteria,,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella_pneumophila
469,Bacteria,,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,
480,Bacteria,,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,Moraxella_catarrhalis
522,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium,
585,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Proteus,Proteus_vulgaris
624,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Shigella,Shigella_sonnei
629,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Yersinia,
651,Bacteria,,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas_media
669,Bacteria,,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio_harveyi
813,Bacteria,,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia_trachomatis
1046,Bacteria,,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,,
1100,Bacteria,,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Pelodictyon,Pelodictyon_luteolum
1276,Bacteria,,Actinobacteria,Actinobacteria,Micrococcales,Dermacoccaceae,Kytococcus,Kytococcus_sedentarius
1302,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_gordonii
1575,Bacteria,,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Leifsonia,Leifsonia_xyli
1718,Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium_glutamicum
1731,Bacteria,,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium_acidaminophilum
1852,Bacteria,,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharomonospora,Saccharomonospora_viridis
2014,Bacteria,,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,Nocardiopsis_dassonvillei
2017,Bacteria,,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Streptoalloteichus,Streptoalloteichus_hindustanus
2734,Bacteria,,Firmicutes,Clostridia,Clostridiales,Symbiobacteriaceae,Symbiobacterium,Symbiobacterium_thermophilum
5145,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Podospora,Podospora_anserina
5334,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Schizophyllaceae,Schizophyllum,Schizophyllum_commune
5664,Eukaryota,,,,Kinetoplastida,Trypanosomatidae,Leishmania,Leishmania_major
9755,Eukaryota,Metazoa,Chordata,Mammalia,Cetacea,Physeteridae,Physeter,Physeter_catodon
10484,Viruses,,,,,Polydnaviridae,Ichnovirus,Campoletis_sonorensis_ichnovirus
28108,Bacteria,,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Alteromonas_macleodii
28223,Bacteria,,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacula,Desulfobacula_toluolica
29405,Bacteria,,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Microlunatus,Microlunatus_phosphovorus
30608,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Cheirogaleidae,Microcebus,Microcebus_murinus
31989,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
33034,Bacteria,,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus_prevotii
36809,Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium_abscessus
42817,Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium_argentoratense
47735,Bacteria,,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Bibersteinia,Bibersteinia_trehalosi
52133,Bacteria,,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_venetianus
55508,Bacteria,,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,Janthinobacterium_agaricidamnosum
62977,Bacteria,,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_sp._ADP1
77166,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Curculionidae,Dendroctonus,Dendroctonus_ponderosae
79329,Bacteria,,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga,Chitinophaga_pinensis
81032,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Hyphomonas,Hyphomonas_neptunium
85085,Bacteria,,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,Pseudarthrobacter_chlorophenolicus
89154,Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium_terpenotabidum
135613,Bacteria,,Proteobacteria,Gammaproteobacteria,Chromatiales,,,
168697,Bacteria,,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Salinispora,Salinispora_arenicola
180504,Viruses,,,,Caudovirales,Siphoviridae,Phie125likevirus,Burkholderia_phage_phiE125
186801,Bacteria,,Firmicutes,Clostridia,,,,
214856,Bacteria,,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes_finegoldii
215813,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Dinoroseobacter,Dinoroseobacter_shibae
225326,Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium_halotolerans
240495,Bacteria,,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,Pseudonocardia_dioxanivorans
274539,Bacteria,,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobaculum,Chlorobaculum_parvum
286802,Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,Segniliparaceae,Segniliparus,Segniliparus_rotundus
360911,Bacteria,,Firmicutes,Bacilli,Bacillales,,Exiguobacterium,Exiguobacterium_sp._AT1b
424716,Viruses,,,,Caudovirales,Siphoviridae,,Salmonella_phage_Vi_II-E1
467094,Bacteria,,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Ilumatobacter,Ilumatobacter_coccineus
494983,Eukaryota,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia_sp._LCP-2008a
741276,Eukaryota,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula_taiwanensis
741978,Bacteria,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,blood_disease_bacterium_R229
935293,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Yersinia,Yersinia_entomophaga
1076588,Bacteria,,Proteobacteria,Gammaproteobacteria,,,Thiolapillus,Thiolapillus_brandeum
1091575,Bacteria,,,,,,,uncultured_bacterium_CSLF43
1137271,Bacteria,,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharomonospora,Saccharomonospora_sp._CNQ490
1248727,Bacteria,,Proteobacteria,Gammaproteobacteria,,,,endosymbiont_of_unidentified_scaly_snail_isolate_Monju
1259844,Bacteria,,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_sp._FGI182
1335757,Bacteria,,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Spiribacter,Spiribacter_sp._UAH-SP71
1487956,Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium_sp._ATCC_6931
3981,Eukaryota,Viridiplantae,Streptophyta,,Malpighiales,Euphorbiaceae,Hevea,Hevea_brasiliensis
9749,Eukaryota,Metazoa,Chordata,Mammalia,Cetacea,Monodontidae,Delphinapterus,Delphinapterus_leucas
244787,Bacteria,,Proteobacteria,Epsilonproteobacteria,Nautiliales,Nautiliaceae,Nautilia,Nautilia_profundicola
271065,Bacteria,,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylomicrobium,Methylomicrobium_alcaliphilum
687351,Viruses,,,,,Anelloviridae,Alphatorquevirus,Torque_teno_virus_12
884684,Bacteria,,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Mageeibacillus,Mageeibacillus_indolicus
1462,Bacteria,,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,Geobacillus_kaustophilus
2711,Eukaryota,Viridiplantae,Streptophyta,,Sapindales,Rutaceae,Citrus,Citrus_sinensis
11970,Viruses,,,,,Retroviridae,Gammaretrovirus,Woolly_monkey_sarcoma_virus
37690,Eukaryota,Viridiplantae,Streptophyta,,Sapindales,Rutaceae,Citrus,Citrus_trifoliata
59620,Bacteria,,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,uncultured_Clostridium_sp.
93612,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Setosphaeria,Setosphaeria_turcica
