,AR4040,AR4041,AR4042,AR4043,AR4044,AR4045,AR4046,AR4047,AR4048,AR4049,AR4120,AR4121,AR4122,AR4123,AR4124,AR4125,AR4126,AR4127,AR4128,AR4129,AR4151,AR4152,AR4153,AR4154,AR4155,AR4156,AR4157,AR4158,AR4159,AR4160,AR4161,AR4162,AR4163,AR4164,MKAN003341,MKAN003342,MKAN003343,MKAN003344,MKAN003345,MKAN003346,MKAN003347,MKAN003348,MKAN003432,MKAN003433,MKAN003434,MKAN003435,MKAN003436,MKAN003437,MKAN003438,MKAN003439,MKAN003440,MKAN003441,MKAN003479,MKAN003480,MKAN003481,MKAN003482,MKAN003483,MKAN003484,MKAN003485,MKAN003486,MKAN003487,MKAN003689,MKAN003690,MKAN003691,MKAN003692,MKAN003694,MKAN003695,MKAN003696,MKAN003697,MKAN003754,MKAN003755,MKAN003756,MKAN003757,MKAN003758,MKAN003759,MKAN003760,MKAN003761,MKAN003762,MKAN003789,MKAN003790,MKAN003791,MKAN003792,MKAN003793,MKAN003794,MKAN003795,MKAN003796,MKAN003963
614,6,0,0,0,2,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,59,0,0,10,0,0,6,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,8,10,0,8,0,0,0,0,0,0,37,38,12,0,0,0,36,2,0,15,0,0,4,0
615,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,4,0,4,2,0,0,6,0,14,20,0,4,0,0,6,0,0,0,0,25,0,0,0,0,1,0,0,3,2,2,3,2,0,0,4,14,2,4,0,0,0,0,2,9,2,6,0,4,31,0,0,0,73,10,5,0,2,0
630,4,0,0,26,0,19,0,88,3,0,25,37,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,41,4,0,51,0,3,0,0,19,77,2,0,6,15,0,0,0,0,6,0,2,0,0,0,0,0,0,2,0,0,0,0,6,8,66,29,0,89,0,0,21,0,0,0,72,0,3,0,91,0,21,72,71,32,0,11,54,0
670,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,13,19,0,33,0,0,0,0,0,0,15,0,0,3,12,0,0,27,2,0,0,0,0,0
672,6,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,2,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,23,0,16,0,0,2,0,0,0,0,4,0,2,9,0,0,2,2,2,2,0,7,0
907,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,53,0,0,0,0,18,0,0,0,0
926,11,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,26,0,0,4,6,14,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,50,86,0,7,0,0,23,0,0,0,24,0,48,18,0,0,0,69,2,45,15,0,56,0
964,2,0,0,0,12,0,0,14,0,0,20,37,0,0,0,0,0,6,0,2,0,0,0,0,6,0,24,2,0,196,0,16,84,0,0,0,0,26,16,0,27,0,6,76,0,4,4,0,0,0,0,0,0,2,0,0,0,0,11,6,7,0,0,2,4,0,93,0,6,60,0,0,14,136,53,34,6,40,0,88,8,3,0,0,55,18,0
1049,10,0,0,0,0,0,0,69,0,0,0,0,2,20,4,0,0,8,0,0,0,0,0,0,36,0,0,0,0,29,0,16,6,8,0,0,0,0,12,0,0,3,4,2,0,0,4,0,0,0,0,0,0,6,5,0,0,0,63,21,0,0,0,0,6,0,106,0,0,0,0,0,0,36,46,72,12,0,4,104,67,4,2,10,0,28,0
1076,15,0,6,0,0,2,0,33,0,0,24,102,12,2,0,113,0,71,0,2,0,0,0,24,80,0,110,0,0,293,4,16,81,2,24,77,0,52,448,0,3,7,0,49,0,10,8,0,0,0,0,0,0,14,3,0,0,0,35,18,0,12,0,22,113,0,150,2,2,81,2,0,78,215,75,174,65,79,16,57,120,238,67,16,81,138,0
1096,26,27,10,43,21,39,23,0,142,79,6,10,3,89,19,14,61,22,0,6,170,139,70,200,63,59,148,145,17,21,54,48,62,29,2,32,8,19,0,16,0,0,84,38,74,62,40,111,19,56,163,97,30,89,35,20,4,98,13,10,83,25,24,85,0,50,14,76,26,21,10,50,36,3,27,24,51,24,12,0,17,0,0,6,46,0,6
1224,182,6,26,107,120,19,74,1134,0,0,221,149,95,169,15,606,0,87,44,33,13,0,10,113,171,0,96,13,0,3767,26,38,1369,72,252,351,15,354,3489,51,250,55,86,1156,11,10,141,10,12,16,10,6,0,85,4,2,26,0,888,328,57,29,29,267,1597,16,2671,66,2,417,6,74,131,2556,1509,1270,796,2692,185,2216,1295,2559,1000,392,543,1422,4
1236,17,0,0,2,4,8,6,78,0,7,13,2,0,7,2,17,0,0,14,6,10,0,0,30,6,0,4,0,0,272,0,10,91,0,8,16,0,10,77,0,2,12,9,150,0,0,14,6,12,2,20,4,2,6,0,0,0,0,56,65,32,4,14,55,150,11,87,2,0,96,0,11,12,64,114,15,11,297,0,186,134,145,27,0,74,59,7
1307,8,0,0,2,4,150,2,31,0,0,0,8,6,142,9,74,99,272,22,12,33,17,72,27,31,49,27,22,12,268,2,6,20,24,268,220,40,13,25,88,9,23,0,59,38,12,56,5,37,18,7,19,30,89,37,36,11,14,14,79,32,2,18,31,44,8,55,121,43,23,39,18,85,88,125,115,10,21,104,102,198,39,36,13,6,93,25
1313,22,0,0,8,0,0,0,0,0,0,0,18,0,0,0,51,0,0,0,10,0,0,0,0,10,4,0,0,10,90,18,0,31,25,11,15,0,19,2,0,8,9,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,100,0,0,0,0,8,0,5,0,29,38,42,0,58,0,0,92,77,2,0,66,7,0
1314,124,0,0,0,0,0,0,13,5,0,0,0,8,8,12,6,0,0,8,0,0,24,4,20,58,23,21,35,0,56,7,13,9,6,3,26,0,21,23,0,0,0,10,12,16,6,18,16,14,14,12,4,0,5,35,17,2,13,0,0,131,0,3,4,2,4,0,0,32,6,27,0,4,79,0,22,0,7,5,0,8,0,0,0,30,0,21
1351,2,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,367,2,7,10,0,0,0,0,6,66,0,0,0,2,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,8,3,20,0,0,0,2,0,8,0,0,0,0,0,0,70,34,0,6,6,0,4,16,8,13,0,0,23,0
